Set it Free ,"John Dee, Litil, Elle Vee ",75,210000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m1.m4a
Superhero,Unknown Brain,75,182000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m2.m4a
All I Need ,Ariadne (feat. Karl Killing) ,80,152000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m3.m4a
Calling Out Your Name ,MANIA & Tom Wigley (feat. Lottie Jones ,87,234000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m4.m5a
Mortals,Warriyo,90,230000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m5.m4a
MATAFAKA,Unknown Brain,95,247000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m6.m4a
Invincible,Deaf Kev,100,274000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m7.m4a
Falling for You - Remix ,Justmylord x Charles B,101,157000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m8.m4a
Red Line ,Anne Yvette,110,266000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m9.m4a
Vision pt.II,Lost Sky,110,208000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m10.m4a
Feel Good,Syn Cole,124,182000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m11.m4a
Imaginary Friends ,Laszlo ,127,381000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m12.m4a
Heroes Tonight,Janji (feat. Johnning),128,208000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m13.m4a
Shine,Spektrem,128,259000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m14.m4a
Nekozilla,Different Heaven,128,166000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m15.m4a
BE THE ONE ,Sam Day ,129,247000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m16.m4a
BUSSIN ,TWISTED ,130,87000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m17.m4a
Firefly,Yim Josef,130,256000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m18.m4a
Everything,Diamond Eyes,140,257000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m19.m4a
Shootin Stars,Aero Chord feat. DDark,140,242000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m20.m4a
Like Me ,T-Mass & Britt Lari ,142,212000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m21.m4a
apart ,sumu ,144,142000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m22.m4a
Karma ,Alaina Cross,160,189000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m23.m4a
Losing Sleep ,Disfigure (feat. Tara Louise) ,160,173000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m24.m4a
Symbolism,Electro-Light,170,291000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m25.m4a
All For You ,Itro (feat. SILIAS),172,213000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m26.m4a
On & On,"Cartoon, Jeja (feat. Daniel Levi)",174,208000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m27.m4a
Why Do I?,Unknown Brain,174,223000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m28.m4a
Why We Lose,"Cartoon, Jeja (feat. Coleman Trapp",175,197000,https://github.com/ezhou0716/MusicRunner/raw/master/Music/m29.m4a